Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State/Province,Postal Code,Region,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit
1,US-2019-103800,2019-01-03,2019-01-07,Standard Class,DP-13000,Darren Powers,Replacement ,,Houston,Texas,77095,Central,OFF-PA-10000174,Third Party,Paper,16.448,2,0.2,5.5512
2,US-2019-112326,2019-01-04,2019-01-08,Standard Class,PO-19195,Phillina Ober,Other ,,Naperville,Illinois,60540,Central,OFF-BI-10004094,Third Party,Binders,3.54,2,0.8,-5.487
3,US-2019-112326,2019-01-04,2019-01-08,Standard Class,PO-19195,Phillina Ober,Other ,,Naperville,Illinois,60540,Central,OFF-LA-10003223,third party,Labels,11.784,3,0.2,4.2717
4,US-2019-112326,2019-01-04,2019-01-08,Standard Class,PO-19195,Phillina Ober,Other ,,Naperville,Illinois,60540,Central,OFF-ST-10002743,Third Party,Storage,272.736,3,0.2,-64.7748
5,US-2019-141817,2019-01-05,2019-01-12,Standard Class,MB-18085,Mick Brown,Replacement ,,Philadelphia,Pennsylvania,19143,East,OFF-AR-10003478,Third Party,Art,19.536,3,0.2,4.884
6,US-2019-167199,2019-01-06,2019-01-10,Standard Class,ME-17320,Maria Etezadi,Other,,Henderson,Kentucky,42420,South,FUR-CH-10004063,Direct Sale,Chairs,2573.82,9,0.0,746.4078
7,US-2019-167199,2019-01-06,2019-01-10,Standard Class,ME-17320,Maria Etezadi,Other,,Henderson,Kentucky,42420,South,OFF-AR-10001662,OTHER,Art,5.48,2,0.0,1.4796
8,US-2019-106054,2019-01-06,2019-01-07,First Class,JO-15145,Jack O'Briant,Servicing,,Athens,Georgia,30605,South,OFF-AR-10002399,OTHER,Art,,3,0.0,5.2398
9,US-2019-167199,2019-01-06,2019-01-10,Standard Class,ME-17320,Maria Etezadi,Other ,,Henderson,Kentucky,,South,OFF-BI-10004632,OTHER,Binders,609.98,2,0.0,274.491
10,US-2019-167199,2019-01-06,2019-01-10,Standard Class,ME-17320,Maria Etezadi,Other ,,Henderson,Kentucky,42420,South,OFF-FA-10001883,Other,Fasteners,31.12,4,0.0,0.3112
11,US-2019-167199,2019-01-06,2019-01-10,Standard Class,ME-17320,Maria Etezadi,Other,,Henderson,Kentucky,,South,OFF-PA-10000955,Other,Paper,6.54,1,0.0,3.0084
12,US-2019-130813,2019-01-06,2019-01-08,Second Class,LS-17230,Lycoris Saunders,Replacement,,Los Angeles,California,90049,West,OFF-PA-10002005,Third Party,Paper,19.44,3,0.0,9.3312
13,US-2019-167199,2019-01-06,2019-01-10,Standard Class,ME-17320,Maria Etezadi,Other,,Henderson,Kentucky,42420,South,TEC-PH-10004539,Pre Book,Phones,755.96,4,0.0,204.1092
14,US-2019-167199,2019-01-06,2019-01-10,Standard Class,ME-17320,Maria Etezadi,Other ,,Henderson,Kentucky,42420,South,TEC-PH-10004977,PRE BOOK,Phones,391.98,2,0.0,113.6742
15,US-2019-105417,2019-01-07,2019-01-12,Standard Class,VS-21820,Vivek Sundaresam,Replacement,,Huntsville,Texas,77340,Central,FUR-FU-10004864,Direct Sale,Furnishings,76.728,3,0.6,-53.7096
16,US-2019-105417,2019-01-07,2019-01-12,Standard Class,VS-21820,Vivek Sundaresam,Replacement,,Huntsville,Texas,77340,Central,OFF-BI-10003708,third party,Binders,10.43,7,0.8,-18.2525
17,US-2019-135405,2019-01-09,2019-01-13,Standard Class,MS-17830,Melanie Seite,Replacement,,Laredo,Texas,78041,Central,OFF-AR-10004078,Third Party,Art,9.344,2,0.2,1.168
